Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters,countries
2008-2018,2008,2018,11,0.018894437837977878,0.017252246581109732,0.2734346776380747,39193,352,192,48
2008-2019,2008,2019,12,0.030666242533872526,0.017125547805662177,0.07334591179381113,43192,377,213,48
2009-2016,2009,2016,8,0.009099765477213119,0.01965430978553486,0.6433709299740188,28081,259,147,48
2009-2017,2009,2017,9,0.008064749610568267,0.019380757074798114,0.6773211016734171,32124,291,158,48
2009-2018,2009,2018,10,0.014307656883605819,0.01923445666227014,0.4569638835473999,36154,321,174,48
2009-2019,2009,2019,11,0.028126772945182465,0.019260053410962315,0.14418885890585365,40153,346,195,48
2010-2017,2010,2017,8,0.01370209130278586,0.022360414194624745,0.5400195487194588,29201,263,143,48
2010-2018,2010,2018,9,0.021933436043930686,0.02200312022180771,0.31884558390134277,33231,293,159,48
2010-2019,2010,2019,10,0.03789173011723597,0.02191583230713586,0.08381517061964903,37230,318,180,48
2011-2018,2011,2018,8,0.02239258311768621,0.02202205600692215,0.30923655695383434,29874,261,145,48
2011-2019,2011,2019,9,0.04120659298231327,0.021695920267549514,0.05752787979939829,33873,286,166,48
2012-2019,2012,2019,8,0.05415945857498021,0.023709101740682144,0.022352029643076723,30475,254,149,48
