country_code,year,total_resource_rents_gdp,oil_rents_gdp,mineral_rents_gdp
COG,1986,13.4057657739929,9.9166539586636,0.0236890001422501
COG,1987,21.6894901597359,18.2464767133142,0.0495302436939317
COG,1988,22.3720464943537,17.2879024167938,0.781737493354227
COG,1989,36.5775807866716,31.9903938330206,0.21007406304897
COG,1990,42.7260969986879,37.0679852946243,0.354261665293333
COG,1991,25.375432599605,20.7037580261964,0.894608857748024
COG,1992,27.615953975567,23.3587405950744,0.255693534297515
COG,1993,32.036674252406,27.2825783443645,0.206598044573756
COG,1994,39.6825674039049,32.4835583497713,0.21909719916636
COG,1995,39.1289096653397,31.3905248097934,0.0399320210296037
COG,1996,39.2687753315493,34.2466290821695,0.0994954758020608
COG,1997,45.5915923371128,38.8429815606382,0.492168672200092
COG,1998,30.5229307392362,23.4026290591939,0.00089335282741799
COG,1999,39.2437225352843,34.4709216830853,0.000528602192937492
COG,2000,59.6838725227388,55.9533665542603,0.000634467059634891
COG,2001,48.0984534986102,43.2924415564204,0.000722654768183349
COG,2002,46.645011436159,40.6339102482945,0.000855530950456708
COG,2003,39.3172945315231,32.8203228243625,0.0003757662868597
COG,2004,40.0820482272883,36.7574181614469,0.00433357312227434
COG,2005,48.0989114251068,44.9456173814714,0.00352047916312986
COG,2006,53.3147620920685,50.1208093428642,0.00675492863484863
COG,2007,47.4870837640152,43.9536353057112,0.00708564504835651
COG,2008,52.6445029945798,48.8603735696485,0.00700479907864409
COG,2009,35.5779092675085,32.0193923725837,0.00988882600394737
COG,2010,43.9398414162223,40.9410251641332,0.0141542458702399
COG,2011,51.8437302128778,48.6661331517592,0.0197193859186748
COG,2012,41.3573491386651,38.0875246076633,0.0163254434710574
COG,2013,33.1448495573332,29.6858074019147,0.0108389927350306
COG,2014,27.6582312920434,24.8226399767107,0.00887586844693833
COG,2015,15.885704604199,12.2746700668843,0.010085419968275
COG,2016,17.0000392659621,12.8004971968497,0.0150847854361375
COG,2017,29.8063807729514,25.0227768251894,0.0112608678152659
COG,2018,42.6682046537325,38.248715891351,0.0
COG,2019,39.2430391553175,35.8517991110343,0.0
COG,2020,26.2181324216101,22.4084125429251,0.0
COG,2021,37.7125480946685,34.3828809069635,0.0
COG,2022,,,
COG,2023,,,
COG,2024,,,
COG,2025,,,
COL,1960,,,
COL,1961,,,
COL,1962,,,
COL,1963,,,
COL,1964,,,
COL,1965,,,
COL,1966,,,
COL,1967,,,
COL,1968,,,
COL,1969,,,
COL,1970,0.971130535161595,0.453852135192152,0.017180319796966
COL,1971,1.23438280998411,0.685517417606044,0.0260991870600675
COL,1972,1.29333669655888,0.657317983358433,0.0111491913547999
COL,1973,1.76450005369904,0.92942316517958,0.0093496239259464
COL,1974,4.75675236217101,3.98291235195913,0.0122687964710081
COL,1975,4.63550477940996,3.33821480333793,0.0197907863447448
COL,1976,3.98023301354462,2.86098892003378,0.0220333308028012
COL,1977,2.76586869988934,1.78535540238928,0.016919951452368
COL,1978,2.45162230150973,1.56559233732864,0.00964453748920664
COL,1979,4.31749348621964,3.25082063533461,0.0522390219520828
COL,1980,4.87046442956039,3.40244588319501,0.500909369958568
COL,1981,3.96009110273866,2.79806453723812,0.253160621011535
COL,1982,2.80472484483233,1.67230460563661,0.146454347587994
COL,1983,3.42751874293806,2.43966813941097,0.244720173151981
COL,1984,3.5938946568258,2.66352851984923,0.277520221139241
COL,1985,3.95951373552137,2.92183566367263,0.259642509965555
COL,1986,3.10535994984469,2.14754362376945,0.265949765796251
COL,1987,5.14044865983841,4.29296249771919,0.337280013754299
COL,1988,4.02186465581087,2.8758638419425,0.622310867694618
COL,1989,5.89175959366568,4.66461024743611,0.476020537832789
COL,1990,6.90290637643892,5.85725180474062,0.226326363568747
COL,1991,4.19951137793811,3.02073717145768,0.434369845203408
COL,1992,3.65200984470421,2.83229170281085,0.316107147628042
COL,1993,2.98064670992827,2.45619870164746,0.180953994161367
COL,1994,2.41695103636019,1.94674410530817,0.22263856294937
COL,1995,3.12840978420135,2.53983784015495,0.254858717722288
COL,1996,3.72384039434735,3.29062171473192,0.198986783735337
COL,1997,3.06670230612638,2.73078985975652,0.114781886992231
COL,1998,2.05430024171781,1.79752139116737,0.0304677457348933
COL,1999,4.32181182919172,3.89182280764251,0.195505617924094
COL,2000,5.79241275178545,5.13691457442314,0.389708655622565
COL,2001,3.898278216233,3.3895291211657,0.152327976739115
COL,2002,3.95007189063968,3.4723491449574,0.224937813829373
COL,2003,4.56302920257189,3.70073313323441,0.620164530768051
COL,2004,5.92813672580534,3.84640284854431,0.841593768194265
COL,2005,6.26115845587611,4.6618753019502,0.80580348647962
COL,2006,7.29062678619221,5.14627956079988,1.23045243442855
COL,2007,6.6997731158152,4.23708928157192,1.22421445839599
COL,2008,8.78822691726813,5.53392629328463,0.483899310883528
COL,2009,4.85703346033699,3.27049268265203,0.558259226379061
COL,2010,6.70109253013503,4.39207978728564,0.735935017297204
COL,2011,9.86049155221695,6.932640671944,0.779801054641043
COL,2012,8.29683079092449,6.20532168790636,0.686447911012174
COL,2013,7.3843393604104,5.87412217837008,0.349514038217319
COL,2014,6.53057789835517,5.26376178203189,0.264573877688045
COL,2015,3.70587614553491,2.62770808784162,0.174415252189526
COL,2016,3.09947714544169,1.86176731845908,0.28236548926945
COL,2017,3.72823321108347,2.42584234973897,0.217285980775992
COL,2018,4.940258188938,3.64006660382347,0.146434355249825
COL,2019,4.30433092902696,3.14271008185612,0.19876158397522
COL,2020,2.55119417609951,1.56279790261714,0.334771272385278
COL,2021,5.32396445388134,3.42402487593374,0.910145514972726
COL,2022,,,
COL,2023,,,
COL,2024,,,
COL,2025,,,
COM,1960,,,
COM,1961,,,
COM,1962,,,
COM,1963,,,
COM,1964,,,
COM,1965,,,
COM,1966,,,
COM,1967,,,
COM,1968,,,
COM,1969,,,
COM,1970,,,
COM,1971,,,
COM,1972,,,
COM,1973,,,
COM,1974,,,
COM,1975,,,
COM,1976,,,
COM,1977,,,
COM,1978,,,
COM,1979,,,
COM,1980,0.814546844007259,0.0,0.0
COM,1981,0.811701996052721,0.0,0.0
COM,1982,1.28846170265126,0.0,0.0
COM,1983,0.793048315135405,0.0,0.0
COM,1984,0.769874522955636,0.0,0.0
COM,1985,0.516529285634037,0.0,0.0
COM,1986,0.619038524904053,0.0,0.0
COM,1987,0.505536403155049,0.0,0.0
COM,1988,0.546126078404436,0.0,0.0
COM,1989,0.599385261262843,0.0,0.0
COM,1990,0.733042703680398,0.0,0.0
COM,1991,0.752536473967662,0.0,0.0
COM,1992,0.732272832794765,0.0,0.0
COM,1993,0.633194861811434,0.0,0.0
COM,1994,1.09160634596395,0.0,0.0
COM,1995,1.68993932810546,0.0,0.0
COM,1996,1.72539613160936,0.0,0.0
COM,1997,1.76066086457314,0.0,0.0
COM,1998,1.83249756382208,0.0,0.0
COM,1999,1.27104755225648,0.0,0.0
COM,2000,1.39951988105558,0.0,0.0
COM,2001,1.27343022376926,0.0,0.0
COM,2002,1.37514673190594,0.0,0.0
COM,2003,1.65536751885293,0.0,0.0
COM,2004,1.23259320703783,0.0,0.0
COM,2005,1.29730854580131,0.0,0.0
COM,2006,1.26530963882956,0.0,0.0
COM,2007,1.58338531970231,0.0,0.0
COM,2008,1.71669245535594,0.0,0.0
COM,2009,1.74911916314292,0.0,0.0
COM,2010,1.59344239758779,0.0,0.0
COM,2011,1.63354218561465,0.0,0.0
COM,2012,1.91653686564634,0.0,0.0
COM,2013,1.84106336379863,0.0,0.0
COM,2014,1.97695678379704,0.0,0.0
COM,2015,2.46576426845081,0.0,0.0
COM,2016,2.50675650816682,0.0,0.0
COM,2017,2.36385311111587,0.0,0.0
COM,2018,1.55194278873705,0.0,0.0
COM,2019,1.48652356146246,0.0,0.0
COM,2020,1.59920965443734,0.0,0.0
COM,2021,1.62843413378353,0.0,0.0
COM,2022,,,
COM,2023,,,
COM,2024,,,
COM,2025,,,
CPV,1960,,,
CPV,1961,,,
CPV,1962,,,
CPV,1963,,,
CPV,1964,,,
CPV,1965,,,
CPV,1966,,,
CPV,1967,,,
CPV,1968,,,
CPV,1969,,,
CPV,1970,,,
CPV,1971,,,
CPV,1972,,,
CPV,1973,,,
CPV,1974,,,
CPV,1975,,,
CPV,1976,,,
CPV,1977,,,
CPV,1978,,,
CPV,1979,,,
CPV,1980,,,0.0
CPV,1981,,,0.0
CPV,1982,,,0.0
CPV,1983,,,0.0
CPV,1984,,,0.0
CPV,1985,,,0.0
CPV,1986,,,0.0
CPV,1987,60.8796729017154,0.0,0.0
CPV,1988,60.0629565311657,0.0,0.0
CPV,1989,70.3592648621057,0.0,0.0
CPV,1990,59.4333436553037,0.0,0.0
CPV,1991,56.3332448772327,0.0,0.0
CPV,1992,45.7077442097603,0.0,0.0
CPV,1993,27.1444086620911,0.0,0.0
CPV,1994,28.7234814829324,0.0,0.0
CPV,1995,29.9993587098815,0.0,0.0
CPV,1996,29.5237149865058,0.0,0.0
CPV,1997,28.6220609982413,0.0,0.0
CPV,1998,22.5622500835649,0.0,0.0
CPV,1999,14.2843908832858,0.0,0.0
CPV,2000,17.4649201812329,0.0,0.0
CPV,2001,24.2633064289875,0.0,0.0
CPV,2002,19.1975373411355,0.0,0.0
CPV,2003,14.3561834653377,0.0,0.0
CPV,2004,25.6539720118683,0.0,0.0
CPV,2005,32.1530220394275,0.0,0.0
CPV,2006,30.8532933725145,0.0,0.0
CPV,2007,22.0523330657685,0.0,0.0
CPV,2008,49.2057876087633,0.0,0.0
CPV,2009,21.7497375837386,0.0,0.0
CPV,2010,33.2873704914624,0.0,0.0
CPV,2011,40.1340983255841,0.0,0.0
