Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
1999-2014,1999,2014,16,0.011074239977602762,0.005519089018441595,0.04479930087616844,703946,1882,1998
1999-2015,1999,2015,17,0.009669253494225066,0.005878661031716219,0.10000994526483094,748884,2003,2112
1999-2016,1999,2016,18,0.008885808262535764,0.006293892707266659,0.15800462170084917,793736,2122,2208
1999-2017,1999,2017,19,0.007612717187793979,0.006576390629337149,0.24703430008835403,839680,2226,2327
1999-2018,1999,2018,20,0.00796834594780553,0.00683027044616343,0.2433629259231168,885705,2318,2460
1999-2019,1999,2019,21,0.01057897621984662,0.007013636379632672,0.13146651226709524,931725,2394,2612
2000-2007,2000,2007,8,0.014920834982753421,0.005915039962115378,0.011651573482632559,348804,929,1042
2000-2008,2000,2008,9,0.013834390592101573,0.005688130532831213,0.015009461393098755,392818,1051,1157
2000-2009,2000,2009,10,0.013888744672667864,0.005350107081337479,0.009432290521078381,436053,1167,1282
2000-2010,2000,2010,11,0.01478854704581923,0.00536194275880731,0.005814594892688385,481103,1286,1404
2000-2011,2000,2011,12,0.013198958444581,0.005480578998289789,0.016026363807513294,526131,1406,1527
2000-2012,2000,2012,13,0.011453127858662666,0.005548880866400291,0.039013654120049465,570893,1526,1644
2000-2013,2000,2013,14,0.01102286497380064,0.005532343356511809,0.04632274720639913,615660,1647,1759
2000-2014,2000,2014,15,0.0096470431154668,0.005496595707891318,0.07924320033433861,660644,1768,1882
2000-2015,2000,2015,16,0.008108205276154058,0.005926595039084118,0.17127916063173587,705582,1889,1996
2000-2016,2000,2016,17,0.0073206709757767125,0.006389207701293977,0.2518833050742072,750434,2008,2092
2000-2017,2000,2017,18,0.006027677236452863,0.006691599537191103,0.3677038565904638,796378,2112,2211
2000-2018,2000,2018,19,0.006534444685462578,0.006950986778712313,0.34717940203050446,842403,2204,2344
2000-2019,2000,2019,20,0.009334316064590419,0.0071249839468665475,0.19016796192153018,888423,2280,2496
2001-2008,2001,2008,8,0.014764865736290607,0.0059949454010966505,0.013782381700730931,349319,935,1043
2001-2009,2001,2009,9,0.014505886344591077,0.005532412555431884,0.008742003837886503,392554,1051,1168
2001-2010,2001,2010,10,0.015076427292364834,0.005495996834043672,0.006085006279449928,437604,1170,1290
2001-2011,2001,2011,11,0.012973140635936239,0.005496020048325188,0.018252240455209533,482632,1290,1413
2001-2012,2001,2012,12,0.010981760656038784,0.005462066913216382,0.044372970706331366,527394,1410,1530
2001-2013,2001,2013,13,0.010634288309882526,0.005368835455858086,0.04761999612327154,572161,1531,1645
2001-2014,2001,2014,14,0.009185331283778778,0.0054021117319750156,0.08907030977742202,617145,1652,1768
2001-2015,2001,2015,15,0.007417790187673454,0.005932061963399483,0.2111325441305658,662083,1773,1882
2001-2016,2001,2016,16,0.006608598410217008,0.0064636722823565185,0.3065813830687545,706935,1892,1978
2001-2017,2001,2017,17,0.005281886551886976,0.006789467836880455,0.43659674933421944,752879,1996,2097
2001-2018,2001,2018,18,0.005937317825112644,0.007058101772568673,0.40023251873762344,798904,2088,2230
2001-2019,2001,2019,19,0.008957609964161199,0.007216672814365872,0.21451776749474738,844924,2164,2382
2002-2009,2002,2009,8,0.014697326585642191,0.005436686175522494,0.006864210498438394,349114,933,1056
2002-2010,2002,2010,9,0.014894985622387776,0.0054683013945880906,0.006452034395023861,394164,1052,1178
2002-2011,2002,2011,10,0.011959275392910224,0.005416766510510033,0.027256437654635604,439192,1172,1301
2002-2012,2002,2012,11,0.009602231991657833,0.00532583930777566,0.07139577224055581,483954,1292,1418
2002-2013,2002,2013,12,0.009213686101421911,0.005158779008840711,0.07409590642253311,528721,1413,1533
2002-2014,2002,2014,13,0.007568615157337358,0.005327251013718179,0.1553936393689015,573705,1534,1656
2002-2015,2002,2015,14,0.0055598183196029684,0.0059959066243091535,0.35378688719637397,618643,1655,1770
2002-2016,2002,2016,15,0.004638691764390589,0.006614164675189003,0.48309901514636155,663495,1774,1866
2002-2017,2002,2017,16,0.0032343415041657217,0.006960830017555485,0.6421829598955823,709439,1878,1985
2002-2018,2002,2018,17,0.004011287820529808,0.007238604586927771,0.5794747673166787,755464,1970,2118
2002-2019,2002,2019,18,0.0072500406720684895,0.007376997685870228,0.32571073003640816,801484,2046,2270
2003-2010,2003,2010,8,0.012293939339831642,0.005357379732600664,0.021746468761606248,351635,942,1071
2003-2011,2003,2011,9,0.008974879948977436,0.005295779943395854,0.09012798486103897,396663,1062,1194
2003-2012,2003,2012,10,0.006287981530466078,0.005220092317321332,0.22836823930467653,441425,1182,1311
2003-2013,2003,2013,11,0.006063763670566323,0.005014089500625061,0.22653035967016322,486192,1303,1426
2003-2014,2003,2014,12,0.004027040067537125,0.00537885687134717,0.4540503806326549,531176,1424,1549
2003-2015,2003,2015,13,0.0018656074960827756,0.006166724325434611,0.7622495029939882,576114,1545,1663
2003-2016,2003,2016,14,0.0008733789877611664,0.006848758284991799,0.8985259174821867,620966,1664,1759
